Posizione	Pressione
0,000000	0,29878
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,29878
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,29878
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
0,000000	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
6,250000E-5	0,30366
